Number,Name,Reserved,District,Lok Sabha Constituency
130,Nilakottai,SC,Dindigul,Dindigul
131,Natham,-,Dindigul,Dindigul
132,Dindigul,-,Dindigul,Dindigul
133,Vedasandur,-,Dindigul,Karur
134,Aravakurichi,-,Karur,Karur
135,Karur,-,Karur,Karur
136,Krishnarayapuram,SC,Karur,Karur
137,Kulithalai,-,Karur,Perambalur
138,Manapaarai,-,Tiruchirappalli,Karur
139,Srirangam,-,Tiruchirappalli,Tiruchirappalli
140,Tiruchirappalli (West),-,Tiruchirappalli,Tiruchirappalli
141,Tiruchirappalli (East),-,Tiruchirappalli,Tiruchirappalli
142,Thiruverumbur,-,Tiruchirappalli,Tiruchirappalli
143,Lalgudi,-,Tiruchirappalli,Perambalur
144,Manachanallur,-,Tiruchirappalli,Perambalur
145,Musiri,-,Tiruchirappalli,Perambalur
146,Thuraiyur,SC,Tiruchirappalli,Perambalur
147,Perambalur,SC,Perambalur,Perambalur
148,Kunnam,-,Perambalur,Chidambaram
149,Ariyalur,-,Ariyalur,Chidambaram
150,Jayankondam,-,Ariyalur,Chidambaram
151,Tittakudi,SC,Cuddalore,Cuddalore
152,Virudhachalam,-,Cuddalore,Cuddalore
153,Neyveli,-,Cuddalore,Cuddalore
154,Panruti,-,Cuddalore,Cuddalore
155,Cuddalore,-,Cuddalore,Cuddalore
156,Kurinjipadi,-,Cuddalore,Cuddalore
157,Bhuvanagiri,-,Cuddalore,Chidambaram
158,Chidambaram,-,Cuddalore,Chidambaram
159,Kattumannarkoil,SC,Cuddalore,Chidambaram
160,Sirkazhi,SC,Mayiladuthurai,Mayiladuthurai
161,Mayiladuturai,-,Mayiladuthurai,Mayiladuthurai
162,Poompuhar,-,Mayiladuthurai,Mayiladuthurai
163,Nagapattinam,-,Nagapattinam,Nagapattinam
164,Kilvelur,SC,Nagapattinam,Nagapattinam
165,Vedaranyam,-,Nagapattinam,Nagapattinam
166,Thiruthuraipoondi,SC,Thiruvarur,Nagapattinam
167,Mannargudi,-,Thiruvarur,Thanjavur
168,Thiruvarur,-,Thiruvarur,Nagapattinam
169,Nannilam,-,Thiruvarur,Nagapattinam
170,Thiruvidaimarudur,SC,Thanjavur,Mayiladuthurai
171,Kumbakonam,-,Thanjavur,Mayiladuthurai
172,Papanasam,-,Thanjavur,Mayiladuthurai
173,Thiruvaiyaru,-,Thanjavur,Thanjavur
174,Thanjavur,-,Thanjavur,Thanjavur
175,Orathanadu,-,Thanjavur,Thanjavur
176,Pattukkottai,-,Thanjavur,Thanjavur
177,Peravurani,-,Thanjavur,Thanjavur
178,Gandarvakottai,SC,Pudukkottai,Tiruchirappalli
179,Viralimalai,-,Pudukkottai,Karur
180,Pudukkottai,-,Pudukkottai,Tiruchirappalli
181,Thirumayam,-,Pudukkottai,Sivaganga
182,Alangudi,-,Pudukkottai,Sivaganga
183,Aranthangi,-,Pudukkottai,Ramanathapuram
184,Karaikudi,-,Sivaganga,Sivaganga
185,Tiruppattur,-,Sivaganga,Sivaganga
186,Sivaganga,-,Sivaganga,Sivaganga
187,Manamadurai,SC,Sivaganga,Sivaganga
188,Melur,-,Madurai,Madurai
189,Madurai East,-,Madurai,Madurai
190,Sholavandan,SC,Madurai,Theni
191,Madurai North,-,Madurai,Madurai
192,Madurai South,-,Madurai,Madurai
193,Madurai Central,-,Madurai,Madurai
194,Madurai West,-,Madurai,Madurai
195,Thiruparankundram,-,Madurai,Virudhunagar
196,Thirumangalam,-,Madurai,Virudhunagar
197,Usilampatti,-,Madurai,Theni
198,Andipatti,-,Theni,Theni
199,Periyakulam,SC,Theni,Theni
200,Bodinayakanur,-,Theni,Theni
201,Cumbum,-,Theni,Theni
202,Rajapalayam,-,Virudhunagar,Tenkasi
203,Srivilliputhur,SC,Virudhunagar,Tenkasi
204,Sattur,-,Virudhunagar,Virudhunagar
205,Sivakasi,-,Virudhunagar,Virudhunagar
206,Virudhunagar,-,Virudhunagar,Virudhunagar
207,Aruppukkottai,-,Virudhunagar,Virudhunagar
208,Tiruchuli,-,Virudhunagar,Ramanathapuram
209,Paramakudi,SC,Ramanathapuram,Ramanathapuram
210,Tiruvadanai,-,Ramanathapuram,Ramanathapuram
211,Ramanathapuram,-,Ramanathapuram,Ramanathapuram
212,Mudhukulathur,-,Ramanathapuram,Ramanathapuram
213,Vilathikulam,-,Thoothukudi,Thoothukkudi
214,Thoothukkudi,-,Thoothukudi,Thoothukkudi
215,Tiruchendur,-,Thoothukudi,Thoothukkudi
216,Srivaikuntam,-,Thoothukudi,Thoothukkudi
217,Ottapidaram,SC,Thoothukudi,Thoothukkudi
218,Kovilpatti,-,Thoothukudi,Thoothukkudi
219,Sankarankovil,SC,Tenkasi,Tenkasi
220,Vasudevanallur,SC,Tenkasi,Tenkasi
